T,OTU,Replicate,fit_start,fit_end
34,10,R3,57.2,262.8
34,10,R4,65.2,278.9
34,10,R5,69.2,238.7
34,11,R1,74.2,237.7
34,11,R2,76.2,286.9
34,11,R3,80.2,250.8
34,11,R4,94.3,258.8
34,11,R5,66.2,268.8
34,12,R1,62.2,243.7
34,12,R2,78.2,243.7
34,12,R3,77.2,249.8
34,12,R4,70.2,250.8
34,12,R5,66.2,241.7
34,13,R1,111.3,285.9
34,13,R2,131.4,301
34,13,R3,123.4,286.9
34,13,R4,67.2,446.6
34,13,R5,119.3,285.9
34,14,R1,63.2,486.7
34,14,R2,82.2,329.1
34,14,R3,131.4,326.1
34,14,R4,166.5,366.2
34,14,R5,218.7,402.4
34,15,R1,104.3,277.9
34,15,R2,118.3,270.9
34,15,R3,139.4,288.9
34,15,R4,123.4,279.9
34,15,R5,205.6,379.3
34,16,R1,52.1,212.6
34,16,R2,55.2,252.7
34,16,R3,58.2,237.7
34,16,R4,64.2,235.7
34,16,R5,54.2,242.7
34,17,R1,76.2,250.7
34,17,R2,84.2,250.7
34,17,R3,63.2,257.7
34,17,R4,77.2,246.7
34,17,R5,76.2,253.7
34,18,R1,87.2,323.9
34,18,R2,88.2,319.9
34,18,R3,70.2,344
34,18,R4,95.3,323.9
34,18,R5,99.3,316.9
36,1,R1,46.1,224.7
36,1,R2,48.1,274.9
36,1,R3,57.1,227.7
36,1,R4,60.1,211.6
36,1,R5,79.2,208.6
36,2,R1,34.1,200.6
36,2,R2,67.2,228.7
36,2,R3,63.1,223.7
36,2,R4,77.2,212.6
36,2,R5,68.2,209.6
36,3,R1,78.2,224.7
36,3,R2,54.1,240.7
36,3,R3,84.2,260.8
36,3,R4,77.2,234.7
36,3,R5,61.1,235.7
36,4,R1,61.2,280.9
36,4,R2,61.2,245.8
36,4,R3,60.2,235.8
36,4,R4,67.2,240.8
36,4,R5,64.2,256.8
36,5,R1,68.2,280.9
36,5,R2,66.2,276.9
36,5,R3,82.3,285.9
36,5,R4,82.3,279.9
36,5,R5,69.2,284.9
36,6,R1,67.2,285.9
36,6,R2,50.1,364.9
36,6,R3,86.3,323
36,6,R4,89.3,331.1
36,6,R5,81.3,302
36,7,R1,65.2,226.7
36,7,R2,72.3,256.9
36,7,R3,78.3,193.6
36,7,R4,55.2,237.8
36,7,R5,79.3,252.8
36,8,R1,47.1,254.8
36,8,R2,86.3,243.8
36,8,R3,81.3,263.9
36,8,R4,76.3,237.8
36,8,R5,69.2,266.9
36,9,R1,67.2,277
36,9,R2,81.3,259.9
36,9,R3,78.3,276
36,9,R4,87.3,281
36,9,R5,84.3,278
36,10,R1,68.2,257.8
36,10,R2,71.2,233.7
36,10,R3,82.2,245.8
36,10,R4,99.3,220.7
36,10,R5,65.2,259.8
36,11,R1,69.2,276.9
36,11,R2,82.2,245.8
36,11,R3,76.2,215.7
36,11,R4,87.3,249.8
36,11,R5,70.2,235.7
36,12,R1,63.2,241.8
36,12,R2,70.2,250.8
36,12,R3,93.3,225.7
36,12,R4,85.2,257.8
36,12,R5,76.2,213.7
36,13,R1,107.4,265.9
36,13,R2,143.5,304
36,13,R3,143.5,302
36,13,R4,128.4,289
36,13,R5,120.4,289
36,14,R1,146.5,340.2
36,14,R2,60.2,411.4
36,14,R3,149.5,340.2
36,14,R4,155.6,386.3
36,14,R5,146.5,374.3
36,15,R1,110.4,268.9
36,15,R2,127.4,281
36,15,R3,131.4,296
36,15,R4,152.5,314.1
36,15,R5,134.4,346.2
36,16,R1,73.2,267.7
36,16,R2,67.2,266.7
36,16,R3,61.1,246.6
36,16,R4,73.2,244.6
36,16,R5,54.1,276.7
36,17,R1,80.2,244.6
36,17,R2,82.2,258.6
36,17,R3,75.2,269.7
36,17,R4,61.1,277.7
36,17,R5,72.2,273.7
36,18,R1,54.1,238.6
36,18,R2,75.2,296.8
36,18,R3,101.2,301.8
36,18,R4,89.2,295.8
36,18,R5,79.2,266.7
38,1,R1,65.2,236.7
38,1,R2,74.2,246.7
38,1,R3,74.2,246.7
38,1,R4,69.2,237.7
38,1,R5,68.2,195.6
38,2,R1,63.2,198.6
38,2,R2,75.2,230.7
38,2,R3,79.2,235.7
38,2,R4,58.1,228.7
38,2,R5,69.2,220.7
38,3,R1,65.2,257.7
38,3,R2,80.2,192.6
38,3,R3,85.2,187.6
38,3,R4,61.1,220.7
38,3,R5,68.2,218.7
38,4,R1,66.2,318
38,4,R2,66.2,305
38,4,R3,87.2,289.9
38,4,R4,69.2,293.9
38,4,R5,68.2,272.8
38,5,R1,70.2,325
38,5,R2,78.2,257.8
38,5,R3,81.2,336.1
38,5,R4,92.2,306
38,5,R5,77.2,280.9
38,6,R1,68.2,371.2
38,6,R2,74.2,278.9
38,6,R3,67.2,262.8
38,6,R4,58.1,250.8
38,6,R5,66.2,271.8
38,7,R1,62.2,279.9
38,7,R2,59.2,265.8
38,7,R3,75.2,272.9
