T,OTU,Replicate,group,otu_label,r,K,delta_Ninoc_to_N0_min,cell_carbon_fg,N_inoculation_cells_per_L,N0_cells_per_L,CUE,growth_fgC_h,respiration_fgC_h,B_bp,B_free
34,5,R4,Clade2,Clade2_2072,0.0089994651487493409,0.00744189559740816,91.2,1300,42000000,95432657.32544155,0.2855532125906234,701.958281602449,1756.2815512962088,0.3639310806198546,0.8269264311160051
34,5,R5,Clade2,Clade2_2072,0.01074650565676761,0.00794624185842915,86.2,1300,42000000,106061424.83952384,0.33189192679070584,838.2274412278741,1687.3761470644924,0.2928102942741026,0.7394256432950376
34,6,R1,Clade2,Clade2_2073,0.00535177846560325,0.0055074991734904,73.2,1300,42000000,62141857.88953228,0.17295860943723473,417.4387203170537,1996.079298099594,0.695538813054485,1.0290970018448993
34,6,R2,Clade2,Clade2_2073,0.00607232389519848,0.00535684643976203,79.2,1300,42000000,67938145.81026351,0.21055605646675069,473.6412638254816,1775.8369595676093,0.5453682728898283,0.8821740296162078
34,6,R3,Clade2,Clade2_2073,0.00600163003681042,0.00372732980304407,79.2,1300,42000000,67558826.17270598,0.27364588159848047,468.1271428712128,1242.5769983228213,0.3860964395812357,0.6210529106564137
34,6,R4,Clade2,Clade2_2073,0.00781324746156282,0.00532111067839954,96.2,1300,42000000,89059441.07830724,0.3117183965842765,609.4333020019004,1345.64316663101,0.3211737465831712,0.6810370085648358
34,7,R1,Clade3,Clade3_2074,0.01223950817434042,0.00515606616720723,61.2,1300,42000000,88830274.28715631,0.4220611605341438,954.6816375985534,1307.2692995365917,0.19917865829058318,0.42126416305000647
34,7,R2,Clade3,Clade3_2074,0.01155876119587417,0.00609093647272322,72.2,1300,42000000,96757918.80028516,0.38872222125274675,901.5833732781856,1417.7678857587327,0.22873654167771051,0.5269540887216654
34,7,R3,Clade3,Clade3_2074,0.01381775633447301,0.00567052351748365,71.2,1300,42000000,112335942.59889716,0.48665975937182343,1077.7849940888948,1136.873138895207,0.15343208353588286,0.41037946973609846
34,7,R4,Clade3,Clade3_2074,0.01279486314792081,0.00550290570049433,66.2,1300,42000000,97972767.6248912,0.441005215864952,997.9993255378238,1265.0109283895104,0.18437428086531946,0.4300871089339133
34,7,R5,Clade3,Clade3_2074,0.012464980837764,0.00552775580336026,58.2,1300,42000000,86758769.49880894,0.40389359017376464,972.2685053455924,1434.9707502397694,0.21468076817225887,0.44346284004010095
