T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,14,R5,0.007057717119767921,0.002497138627769813,9.444563295374541,362.31,106.3,189606701.7141549,338.7704217488602,296.6173512878158,0.5331711375713011,0.8755703929421157
42,15,R1,0.009203775939750409,0.003857163090981944,9.334015576283111,278.98,107.3,293358648.72113734,441.7812451080196,296.1261014857114,0.5986947374183695,0.6703003008045437
42,15,R2,0.009194587613032008,0.00499577830130287,9.527826987526085,250.87,105.3,287209791.94458663,441.3402054255364,391.75224889653475,0.5297613765865602,0.8876423314273184
42,15,R3,0.009104473285498004,0.0028334090736918185,7.88044173840336,304.03,40.1,134808314.1278403,437.0147177039042,473.36940615487805,0.48003332467130483,1.0831887050440385
42,15,R4,0.009236123934141352,0.0029228270870801393,9.627520489198465,314.15000000000003,88.2,243194885.6644061,443.33394883878486,270.6800631870663,0.6209037096918117,0.6105556858346914
42,15,R5,0.009166932606179271,0.0036819443160027703,9.33998401293543,275.96000000000004,95.3,258888321.46602628,440.012765096605,320.3113587602988,0.5787173539418267,0.7279592415687629
44,1,R1,0.006006650679664937,0.007373855644191559,8.655408801984029,272.83,70.2,73912613.39494586,468.518753013865,2246.8995449823387,0.17254017672326963,4.79575156923515
44,1,R3,0.005166422267129203,0.011592862530819505,7.581854071014355,201.65999999999997,56.1,63027527.60561766,402.98093683607783,4142.552279595139,0.088654271709946,10.279772319056923
44,1,R4,0.006339787615797831,0.008754672268208514,7.749770045080033,218.7,64.2,73187435.27619798,494.50343403223076,2694.0828534232287,0.15508547972426112,5.4480569153087695
44,1,R5,0.009231639053165822,0.013396322120270643,8.50466425019431,151.5,82.2,112538230.10411769,720.0678461469341,2680.976976409928,0.2117195990394494,3.723228291272512
44,2,R1,0.004294257592667389,0.00904879287795415,8.562472748967153,273.83,72.2,65171991.339510135,334.95209222805636,3127.067383455143,0.09675049334087195,9.335864608739449
44,2,R3,0.007989669252289557,0.009419998691964976,8.674347454760952,195.64,91.2,111556409.30644216,623.1942016785854,1901.7958645864194,0.24681055581356073,3.051690563653988
44,2,R4,0.0031538776189850375,0.016626007726245125,8.46126365347092,190.63,81.2,59767400.34341273,246.00245428083295,6265.145987885829,0.037781730283970104,25.467819035389077
44,2,R5,0.005342198985062348,0.021593074365464933,8.693242677944504,143.48000000000002,79.2,75491030.90302902,416.6915208348631,6442.088809222652,0.06075300575071325,15.460090947652576
44,3,R1,0.004716406847405704,0.007758386180876637,6.928933392711013,241.77,37.1,55348408.9326777,367.8797340976449,3156.9945743410567,0.10436676655871811,8.581594150829487
44,3,R2,0.004555968722081492,0.014704670664949517,8.548695532818813,193.65000000000003,82.2,69675735.51247422,355.3655603223564,4753.147850539262,0.06956339970974437,13.375375616668157
44,3,R3,0.009790706459864,0.014991660673193368,8.911783519264876,145.48,85.2,128541252.49283977,763.675103869392,2626.7261619686587,0.22524623016285486,3.4395859556761144
44,3,R4,0.008642374674661479,0.006392055638094451,7.212479694607556,220.68,34.1,67167410.95272982,674.1052246235954,2143.332363016474,0.2392618127836637,3.179521956996047
44,3,R5,0.006689450814968761,0.01502397767583317,7.958433099068912,138.45,62.1,76332837.57987794,521.7771635675633,4432.830301230943,0.10531150394348805,8.495638772157475
44,4,R4,0.0018768360542921316,0.007208881437213491,7.079572458031501,312.03000000000003,54.1,52993863.80897448,146.39321223478626,3063.725708293874,0.0456036725925024,20.928058490719184
44,7,R3,0.00784311417290156,0.008539839001990799,8.682808663474061,222.74999999999997,79.3,85715445.93268661,611.7629054863216,2243.872507920465,0.21423004582944485,3.667879316966262
44,7,R4,0.0088827283961801385,0.010336141354164509,8.299302531285578,179.65,92.3,106067966.18627135,692.8528149020508,2194.7334448495612,0.23994185890109113,3.1676763053345356
44,7,R5,0.007080088282820335,0.010088222385696947,8.632173067970463,201.70000000000005,80.3,80554263.21670355,552.2468860599862,2820.5493371377593,0.16373562157763608,5.10740650302442
44,8,R1,0.0026386376855406578,0.010205972443706258,8.998088845484357,249.83000000000004,80.3,58238694.447860755,205.8137394721713,3946.8474791034487,0.04956189022873536,19.17679300335104
44,8,R2,0.004426641080599154,0.004663367995767998,6.778152723844426,357.15,64.2,67027358.14523945,345.278004286734,1566.9501090136093,0.18056318798221907,4.538227427057141
44,8,R3,0.00696912501113002,0.009197446525928932,8.774014146713528,213.73999999999998,84.3,102674027.96402833,543.5917508681416,2017.5033048766002,0.21224973655266005,3.711431054011678
44,8,R4,0.006199247515298017,0.008954884119432478,8.824343588460417,226.77,85.3,93648102.3029816,483.54130619324525,2153.617503713069,0.18335691592666092,4.453843913910396
44,8,R5,0.004515097068494229,0.011284379219849346,9.079164177590505,267.88,77.3,72388887.89213626,352.1775713425499,3510.8587017391997,0.09116600167505005,9.969001399933896
44,9,R1,0.0034651871332713954,0.008747503436598315,8.787608590257106,296.98,74.3,60668838.25893904,270.2845963951688,3247.3270208891245,0.07683753233787562,12.014473130171943
