"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_004902",0.438348255352608,9.55857617973621,0.00379246294744072,0.00832213504041892,FALSE
"CJI97_003494",0.46447701701372,6.80630598390687,0.00380642039750718,0.00834936766867835,FALSE
"CJI97_002793",-0.523837430524703,7.90857764735475,0.0038151499259752,0.00836511540047224,FALSE
"CJI97_003762",-1.0073022144461,5.15667835126996,0.0038238872736577,0.0083789559746397,FALSE
"CJI97_002227",1.15592474330946,7.02891309941638,0.00382456793282757,0.0083789559746397,FALSE
"CJI97_003929",-0.511310658117716,5.79782919808632,0.00383904327385416,0.00840725548121634,FALSE
"CJI97_004520",0.278311694635887,6.68883315581628,0.00384261895065724,0.00840830353848101,FALSE
"CJI97_003064",-0.507228059645356,4.98736502980978,0.00384263834801597,0.00840830353848101,FALSE
"CJI97_000793",-0.302969347870414,5.83113386775332,0.00385280773600379,0.00842713844486277,FALSE
"CJI97_004352",-0.408036206716841,3.02541182627788,0.00385739314882591,0.00843374936428874,FALSE
"CJI97_004953",-0.547775992788152,8.72116140177342,0.00387294415507785,0.00846432023523697,FALSE
"CJI97_001773",0.520417833103423,4.50928693989869,0.00387543724975195,0.00846633983791965,FALSE
"CJI97_002570",0.41612090755802,7.1248752448393,0.00391827833542024,0.00855646697609374,FALSE
"CJI97_004106",-0.545119125579553,6.58391733773946,0.00392201682914444,0.00856116618530073,FALSE
"CJI97_004668",0.308365127076483,5.66000898268526,0.00394503207044813,0.00860792278695435,FALSE
"CJI97_000206",-0.80605681035463,9.8276862653648,0.00396013758092073,0.00863738980866946,FALSE
"CJI97_001225",0.356902487740579,3.27358040335654,0.00396836387678923,0.0086518349410726,FALSE
"CJI97_001389",-0.256135911733119,5.86334372425524,0.00399324848190566,0.00870257221662478,TRUE
"CJI97_002472",0.597048841571589,6.70445842396671,0.00400506704139583,0.00872480490729589,TRUE
"CJI97_001698",0.336944403056016,6.74554562553695,0.00401360474192928,0.00873987537830929,FALSE
"CJI97_001574",0.374678568872553,3.47387566401861,0.0040174604012173,0.00874474236586065,FALSE
"CJI97_000325",1.09023219921499,6.97700301260357,0.00403850307460778,0.00878423642635709,FALSE
"CJI97_001566",-0.861508664503416,8.37966400955848,0.0040391556196111,0.00878423642635709,FALSE
"CJI97_005006",-0.282710562504048,5.6183521155591,0.00404048828951414,0.00878423642635709,FALSE
"CJI97_000327",0.336163641077715,2.83031828531499,0.00405480056511735,0.00881180179193444,FALSE
"CJI97_004432",-0.372122330000356,7.51100327101888,0.00411805168403756,0.00894565494648416,FALSE
"CJI97_000402",0.404160723515495,5.70867751355607,0.00411988981547111,0.00894604645645155,FALSE
"CJI97_002251",0.444771473659061,7.41358472975925,0.00415993103491825,0.00902935955929963,FALSE
"CJI97_002496",0.25551401334464,5.04315424869487,0.00417076720775162,0.0090492399891547,FALSE
"CJI97_002824",-0.466798377724939,9.40977459620777,0.00417572896314258,0.00905636394096358,TRUE
"CJI97_002185",0.385425657526159,5.19488381292549,0.0041774407314652,0.00905643639493219,FALSE
