T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
34,3,R1,74.2,259.7,0,1,42000000
34,3,R2,78.2,262.7,0,1,42000000
34,3,R3,86.2,260.7,0,1,42000000
34,3,R4,86.2,240.7,0,1,42000000
34,3,R5,89.2,222.7,0,1,42000000
34,4,R1,70.2,271.8,0,1,42000000
34,4,R2,62.1,254.8,0,1,42000000
34,4,R3,74.2,270.8,0,1,42000000
34,4,R4,82.2,250.8,0,1,42000000
34,4,R5,76.2,244.3,0,1,42000000
34,5,R1,45.1,387.2,0,1,42000000
34,5,R2,84.2,266.8,0,1,42000000
34,5,R3,82.2,300,0,1,42000000
34,5,R4,91.2,294.9,0,1,42000000
34,5,R5,86.2,280.9,0,1,42000000
34,6,R1,73.2,448,0,1,42000000
34,6,R2,79.2,392.9,0,1,42000000
34,6,R3,79.2,449.9,0,1,42000000
34,6,R4,96.2,254.7,0,1,42000000
34,6,R5,76.2,315,0,1,42000000
34,7,R1,61.2,267.8,0,1,42000000
34,7,R2,72.2,281.9,0,1,42000000
34,7,R3,71.2,255.8,0,1,42000000
34,7,R4,66.2,300,0,1,42000000
34,7,R5,58.2,257.8,0,1,42000000
34,8,R1,72.2,256.8,0,1,42000000
34,8,R2,67.2,288.9,0,1,42000000
34,8,R3,84.2,271.9,0,1,42000000
34,8,R4,77.2,258.8,0,1,42000000
34,8,R5,71.2,239.7,0,1,42000000
34,9,R1,67.2,273.9,0,1,42000000
34,9,R2,69.2,282.9,0,1,42000000
34,9,R3,86.3,274.9,0,1,42000000
34,9,R4,73.2,277.9,0,1,42000000
34,9,R5,83.2,285.9,0,1,42000000
34,10,R1,63.2,274.8,0,1,42000000
34,10,R2,72.2,259.8,0,1,42000000
34,10,R3,57.2,262.8,0,1,42000000
34,10,R4,65.2,278.9,0,1,42000000
34,10,R5,69.2,238.7,0,1,42000000
34,11,R1,74.2,237.7,0,1,42000000
34,11,R2,76.2,286.9,0,1,42000000
34,11,R3,80.2,250.8,0,1,42000000
34,11,R4,94.3,258.8,0,1,42000000
34,11,R5,66.2,268.8,0,1,42000000
34,12,R1,62.2,243.7,0,1,42000000
34,12,R2,78.2,243.7,0,1,42000000
34,12,R3,77.2,249.8,0,1,42000000
