T,OTU,Replicate,drawdown
34.0,13,R4,6.11
34.0,13,R5,7.4
34.0,14,R1,6.4
34.0,14,R2,7.48
34.0,14,R3,7.529999999999999
34.0,14,R4,7.67
34.0,14,R5,7.240000000000001
34.0,15,R1,7.919999999999999
34.0,15,R2,7.350000000000001
34.0,15,R3,6.83
34.0,15,R4,7.41
34.0,15,R5,8.149999999999999
34.0,16,R1,6.96
34.0,16,R2,7.1
34.0,16,R3,6.8500000000000005
34.0,16,R4,6.86
34.0,16,R5,7.03
34.0,17,R1,6.94
34.0,17,R2,7.0
34.0,17,R3,6.389999999999999
34.0,17,R4,6.940000000000001
34.0,17,R5,6.949999999999999
34.0,18,R1,7.5200000000000005
34.0,18,R2,7.2299999999999995
34.0,18,R3,6.25
34.0,18,R4,7.1000000000000005
34.0,18,R5,7.259999999999999
34.0,19,R1,7.43
34.0,19,R2,7.34
34.0,19,R3,7.69
34.0,19,R4,7.250000000000001
34.0,19,R5,6.029999999999999
34.0,20,R1,6.59
34.0,20,R2,7.51
34.0,20,R3,7.159999999999999
34.0,20,R4,5.99
34.0,20,R5,7.709999999999999
34.0,21,R1,7.630000000000001
34.0,21,R2,6.369999999999999
34.0,21,R3,7.7
34.0,21,R4,6.370000000000001
34.0,21,R5,6.040000000000001
34.0,22,R1,6.85
34.0,22,R2,6.609999999999999
34.0,22,R3,6.74
34.0,22,R4,6.84
34.0,22,R5,6.62
34.0,23,R1,6.779999999999999
34.0,23,R2,6.680000000000001
34.0,23,R3,6.780000000000001
34.0,23,R4,6.739999999999999
34.0,23,R5,6.91
36.0,1,R1,6.21
36.0,1,R2,6.13
36.0,1,R3,6.66
36.0,1,R4,6.68
36.0,1,R5,7.3100000000000005
36.0,2,R1,6.33
36.0,2,R2,7.129999999999997
36.0,2,R3,6.6999999999999975
36.0,2,R4,6.85
36.0,2,R5,6.6899999999999995
36.0,3,R1,7.109999999999999
36.0,3,R2,6.3500000000000005
36.0,3,R3,7.01
36.0,3,R4,6.750000000000001
36.0,3,R5,6.17
36.0,4,R1,7.48
36.0,4,R2,7.0
36.0,4,R3,7.77
36.0,4,R4,7.24
36.0,4,R5,7.239999999999999
36.0,5,R1,7.169999999999997
36.0,5,R2,6.91
36.0,5,R3,7.65
36.0,5,R4,6.569999999999999
36.0,5,R5,6.83
36.0,6,R1,7.11
36.0,6,R2,6.43
36.0,6,R3,7.02
36.0,6,R4,7.17
36.0,6,R5,7.250000000000001
36.0,7,R1,6.78
36.0,7,R2,6.74
36.0,7,R3,6.79
36.0,7,R4,6.83
36.0,7,R5,6.84
36.0,8,R1,6.050000000000001
36.0,8,R2,7.4
36.0,8,R3,7.0600000000000005
36.0,8,R4,7.16
36.0,8,R5,7.23
36.0,9,R1,7.029999999999999
36.0,9,R2,7.19
36.0,9,R3,6.989999999999999
36.0,9,R4,7.23
36.0,9,R5,5.829999999999999
36.0,10,R1,7.119999999999999
36.0,10,R2,7.19
36.0,10,R3,7.12
36.0,10,R4,7.4399999999999995
36.0,10,R5,7.58
36.0,11,R1,7.3100000000000005
36.0,11,R2,7.44
36.0,11,R3,6.09
36.0,11,R4,7.16
36.0,11,R5,7.3
36.0,12,R1,7.64
36.0,12,R2,7.3100000000000005
36.0,12,R3,7.290000000000001
36.0,12,R4,7.08
36.0,12,R5,7.8100000000000005
36.0,13,R1,7.55
36.0,13,R2,7.680000000000001
36.0,13,R3,7.9399999999999995
36.0,13,R4,8.13
36.0,13,R5,7.7299999999999995
36.0,14,R1,5.6
36.0,14,R2,6.890000000000001
36.0,14,R3,8.239999999999998
36.0,14,R4,7.58
36.0,14,R5,7.869999999999999
36.0,15,R1,7.779999999999999
36.0,15,R2,7.69
36.0,15,R3,7.92
36.0,15,R4,7.840000000000001
36.0,15,R5,7.34
36.0,16,R1,7.3500000000000005
36.0,16,R2,7.799999999999999
36.0,16,R3,7.520000000000001
36.0,16,R4,7.6
36.0,16,R5,5.71
36.0,17,R1,7.85
36.0,17,R2,7.609999999999999
36.0,17,R3,7.159999999999999
36.0,17,R4,7.050000000000001
36.0,17,R5,7.41
36.0,18,R1,7.24
36.0,18,R2,7.500000000000001
36.0,18,R3,7.340000000000001
36.0,18,R4,7.76
36.0,18,R5,7.270000000000001
36.0,19,R1,6.829999999999999
36.0,19,R2,6.84
36.0,19,R3,6.75
36.0,19,R4,6.879999999999999
36.0,19,R5,7.08
36.0,20,R1,6.71
36.0,20,R2,7.0600000000000005
36.0,20,R3,6.800000000000001
36.0,20,R4,6.87
36.0,20,R5,7.390000000000001
36.0,21,R1,6.48
36.0,21,R2,5.449999999999999
36.0,21,R3,6.129999999999999
36.0,21,R4,5.970000000000001
36.0,21,R5,6.840000000000001
36.0,22,R1,4.180000000000001
36.0,22,R2,5.89
36.0,22,R3,5.09
36.0,22,R4,5.7299999999999995
36.0,22,R5,5.8100000000000005
36.0,23,R1,5.7700000000000005
36.0,23,R2,5.460000000000001
36.0,23,R3,5.780000000000001
36.0,23,R4,5.89
36.0,23,R5,5.510000000000001
38.0,1,R1,6.44
38.0,1,R2,6.72
38.0,1,R3,6.680000000000001
38.0,1,R4,6.76
38.0,1,R5,6.6899999999999995
